componente_1,componente_2,classe,ambiente
25.124027252197,4.995452880859,1,Laboratório
26.883943557739,7.335215568542,3,Ginásio
4.842113494873,-40.980182647705,0,Corredor
-25.906286239624,11.509658813477,2,Saguão principal
27.187761306763,27.305330276489,1,Laboratório
-32.932701110840,8.938574790955,2,Saguão principal
14.338479042053,10.311827659607,0,Corredor
-11.475092887878,5.239139080048,1,Laboratório
28.115207672119,6.259823799133,3,Ginásio
35.172363281250,3.706950664520,2,Saguão principal
-14.116134643555,7.806887149811,3,Ginásio
-5.192340850830,15.211400985718,1,Laboratório
-12.506744384766,-10.401154518127,3,Ginásio
-23.975511550903,-21.068746566772,2,Saguão principal
6.405633926392,-14.190505027771,0,Corredor
33.542610168457,-28.626596450806,0,Corredor
-24.666219711304,17.238878250122,2,Saguão principal
-6.991686344147,29.405212402344,2,Saguão principal
20.342617034912,-21.347719192505,0,Corredor
-15.661982536316,-11.393231391907,3,Ginásio
-19.986627578735,-31.042991638184,2,Saguão principal
-49.757305145264,20.438886642456,2,Saguão principal
-5.334843158722,24.999483108521,1,Laboratório
-47.850791931152,2.801513671875,0,Corredor
-22.275402069092,-16.311235427856,2,Saguão principal
-24.950170516968,-15.563100814819,1,Laboratório
-13.656550407410,-15.611343383789,3,Ginásio
-17.933656692505,-9.730268478394,3,Ginásio
-26.017349243164,-2.859381675720,2,Saguão principal
5.949330329895,36.067199707031,1,Laboratório
-22.785221099854,-20.972328186035,0,Corredor
15.469083786011,41.696987152100,2,Saguão principal
-8.777664184570,-19.403631210327,3,Ginásio
23.459709167480,9.987991333008,1,Laboratório
28.647920608521,29.592079162598,0,Corredor
26.006166458130,13.163887977600,1,Laboratório
11.461605072021,20.129598617554,1,Laboratório
15.507052421570,-17.110528945923,3,Ginásio
-13.698266983032,3.253779411316,1,Laboratório
-33.184745788574,-14.588394165039,2,Saguão principal
-32.265331268311,-39.000770568848,0,Corredor
-18.478723526001,14.271771430969,2,Saguão principal
-16.311035156250,-32.549221038818,2,Saguão principal
22.903295516968,31.871448516846,2,Saguão principal
14.516628265381,25.187482833862,1,Laboratório
-14.416427612305,-12.454925537109,3,Ginásio
-15.915793418884,4.762150764465,1,Laboratório
12.261257171631,6.333361148834,1,Laboratório
-38.319801330566,-16.903039932251,0,Corredor
-28.787342071533,-19.152286529541,0,Corredor
-15.503093719482,18.384914398193,3,Ginásio
27.780353546143,-0.961202085018,1,Laboratório
22.081304550171,0.719344615936,1,Laboratório
-25.740327835083,-15.310187339783,1,Laboratório
1.404334783554,-18.520839691162,3,Ginásio
-39.674213409424,17.596347808838,2,Saguão principal
36.648086547852,-24.349134445190,0,Corredor
0.267943263054,19.368120193481,2,Saguão principal
-1.018748641014,30.885238647461,1,Laboratório
-10.727223396301,-16.375940322876,3,Ginásio
-11.773036956787,20.094442367554,2,Saguão principal
-34.984409332275,23.709104537964,2,Saguão principal
24.962162017822,18.982393264771,1,Laboratório
-17.724658966064,-0.861931025982,3,Ginásio
25.895866394043,-15.651539802551,1,Laboratório
-12.965085029602,4.292117118835,0,Corredor
-33.543586730957,0.655224740505,2,Saguão principal
4.325218677521,48.335861206055,0,Corredor
-22.213932037354,-7.729697704315,2,Saguão principal
20.397764205933,29.636945724487,2,Saguão principal
13.945681571960,-26.988428115845,0,Corredor
21.938297271729,-12.859474182129,3,Ginásio
23.014068603516,31.943746566772,2,Saguão principal
-10.519958496094,-16.533018112183,3,Ginásio
-19.408735275269,8.013771057129,1,Laboratório
22.838848114014,31.880084991455,2,Saguão principal
-35.220836639404,23.911165237427,2,Saguão principal
11.391791343689,20.171968460083,1,Laboratório
19.752750396729,-21.219043731689,0,Corredor
16.119586944580,8.426133155823,1,Laboratório
24.724979400635,10.201686859131,1,Laboratório
-4.742319107056,28.156528472900,1,Laboratório
-20.821630477905,23.059597015381,0,Corredor
-1.426194310188,-28.659982681274,0,Corredor
20.290105819702,27.280117034912,1,Laboratório
2.633439302444,39.100620269775,0,Corredor
-15.334854125977,8.519788742065,1,Laboratório
16.864528656006,9.197372436523,1,Laboratório
-28.824584960938,-19.167789459229,0,Corredor
16.456468582153,24.611705780029,0,Corredor
24.124160766602,-30.274433135986,2,Saguão principal
22.369812011719,17.588392257690,1,Laboratório
-4.279466152191,-17.594665527344,0,Corredor
26.411699295044,-7.926550865173,3,Ginásio
16.841358184814,20.886589050293,1,Laboratório
-7.551560401917,-31.010599136353,2,Saguão principal
24.582544326782,9.696125984192,1,Laboratório
22.206085205078,7.216434955597,1,Laboratório
30.970079421997,-16.178827285767,2,Saguão principal
22.523115158081,0.990963101387,1,Laboratório
22.176105499268,17.677494049072,3,Ginásio
-10.867598533630,21.520151138306,1,Laboratório
39.487850189209,4.714688301086,0,Corredor
-10.671365737915,-1.486493229866,1,Laboratório
-16.321300506592,-10.631661415100,3,Ginásio
20.599325180054,33.867580413818,0,Corredor
-17.697013854980,-0.799461603165,3,Ginásio
-12.950868606567,-11.798231124878,2,Saguão principal
4.960625648499,-41.358943939209,0,Corredor
30.925106048584,-48.864273071289,0,Corredor
24.368370056152,-9.840757369995,3,Ginásio
-14.332576751709,-17.949760437012,1,Laboratório
12.985267639160,-31.805591583252,2,Saguão principal
15.662444114685,-17.182323455811,3,Ginásio
-3.962463140488,36.785533905029,0,Corredor
12.710998535156,-26.503742218018,0,Corredor
26.188629150391,15.418398857117,3,Ginásio
31.495599746704,11.185063362122,1,Laboratório
15.391089439392,15.884819984436,1,Laboratório
19.648330688477,1.392475128174,1,Laboratório
-31.508104324341,-38.946647644043,0,Corredor
24.410419464111,6.851076126099,1,Laboratório
27.329410552979,6.015355110168,2,Saguão principal
-34.484169006348,-15.135532379150,2,Saguão principal
64.481719970703,13.575260162354,0,Corredor
24.358461380005,-30.429361343384,2,Saguão principal
15.894995689392,-13.018957138062,1,Laboratório
-19.001539230347,9.861122131348,1,Laboratório
-15.430079460144,8.819286346436,1,Laboratório
26.646375656128,10.007933616638,3,Ginásio
8.736222267151,-19.918752670288,3,Ginásio
26.153087615967,1.045862674713,1,Laboratório
28.618659973145,29.566963195801,0,Corredor
-15.465008735657,31.133722305298,2,Saguão principal
-13.141921043396,27.579017639160,2,Saguão principal
-9.794993400574,13.989578247070,1,Laboratório
60.162532806396,-2.575128316879,0,Corredor
23.410978317261,-10.728613853455,3,Ginásio
-11.905966758728,-4.442626953125,1,Laboratório
-10.993413925171,1.936571478844,1,Laboratório
11.181221008301,33.356994628906,0,Corredor
7.736176013947,33.387863159180,2,Saguão principal
-16.186460494995,-0.791628777981,3,Ginásio
5.300636291504,-20.981077194214,3,Ginásio
-40.703109741211,8.378916740417,2,Saguão principal
-40.649330139160,8.333621978760,2,Saguão principal
26.651824951172,-0.842912375927,3,Ginásio
28.315938949585,-38.636238098145,0,Corredor
-21.722312927246,-7.550083160400,2,Saguão principal
19.350831985474,15.946641921997,1,Laboratório
-31.804183959961,12.269268989563,2,Saguão principal
-28.537616729736,-18.675991058350,0,Corredor
16.043067932129,-38.230155944824,0,Corredor
13.376138687134,-32.148048400879,2,Saguão principal
-40.213851928711,17.340587615967,2,Saguão principal
6.403972625732,-19.893270492554,3,Ginásio
14.513619422913,-14.536941528320,0,Corredor
47.378467559814,-3.094700098038,0,Corredor
28.832876205444,2.444648742676,1,Laboratório
28.169986724854,6.381462097168,3,Ginásio
39.291156768799,-6.407379150391,0,Corredor
-24.497768402100,14.547359466553,0,Corredor
-14.287361145020,-17.951860427856,1,Laboratório
-36.932819366455,-4.770494461060,2,Saguão principal
24.042028427124,-7.420954704285,3,Ginásio
-2.091242074966,28.653472900391,2,Saguão principal
-11.061524391174,1.878450393677,1,Laboratório
-24.282711029053,16.500989913940,2,Saguão principal
26.866443634033,7.473655700684,3,Ginásio
-36.969757080078,-4.899353027344,2,Saguão principal
-20.861965179443,-2.044821262360,1,Laboratório
-50.008110046387,17.942249298096,2,Saguão principal
4.877530574799,-22.123517990112,2,Saguão principal
43.132381439209,-11.542552947998,0,Corredor
17.047367095947,-39.561500549316,0,Corredor
-25.200439453125,-2.521913528442,0,Corredor
25.453157424927,0.078216001391,3,Ginásio
-0.367045313120,22.861909866333,2,Saguão principal
-16.312110900879,-32.669170379639,2,Saguão principal
6.332292079926,-19.862445831299,3,Ginásio
-35.448184967041,4.568933486938,2,Saguão principal
17.873199462891,-3.362197160721,1,Laboratório
-28.909645080566,10.404110908508,2,Saguão principal
-22.384210586548,1.020343422890,1,Laboratório
-28.047910690308,-1.682727932930,1,Laboratório
38.038555145264,-2.413700819016,1,Laboratório
7.782018661499,33.537288665771,2,Saguão principal
-2.325634717941,28.793828964233,2,Saguão principal
28.605155944824,29.466188430786,0,Corredor
12.227904319763,38.064353942871,1,Laboratório
28.185815811157,-38.694953918457,0,Corredor
23.502490997314,-23.954710006714,0,Corredor
-32.029945373535,-3.014244794846,2,Saguão principal
13.405625343323,44.119174957275,0,Corredor
-3.416642665863,34.196720123291,2,Saguão principal
22.190099716187,0.707143783569,1,Laboratório
29.371049880981,2.427882194519,2,Saguão principal
-18.594837188721,3.942767620087,2,Saguão principal
16.075098037720,3.236714601517,0,Corredor
-31.921041488647,12.080926895142,2,Saguão principal
-49.684223175049,20.412139892578,2,Saguão principal
-16.237869262695,-7.030322551727,2,Saguão principal
-12.916276931763,-12.346215248108,3,Ginásio
-7.537952899933,29.028215408325,2,Saguão principal
42.327716827393,-14.093852043152,0,Corredor
-23.993938446045,-21.150688171387,2,Saguão principal
-0.809300422668,-27.457660675049,0,Corredor
27.362047195435,5.997706890106,2,Saguão principal
-14.379799842834,24.299076080322,2,Saguão principal
17.841932296753,-10.124503135681,1,Laboratório
15.640034675598,-14.039071083069,0,Corredor
-11.872086524963,4.392455101013,1,Laboratório
-24.716585159302,17.186599731445,2,Saguão principal
11.330172538757,34.705421447754,2,Saguão principal
-10.561988830566,-16.310676574707,3,Ginásio
-40.602550506592,-11.113747596741,2,Saguão principal
-9.727255821228,-2.931828022003,2,Saguão principal
-24.676397323608,0.858377158642,1,Laboratório
