epoca,perda_treino,perda_validacao,acuracia_validacao,f1_macro_validacao
1,1.090469662900,0.884146067192,0.643103448276,0.635233832388
2,0.617635294817,0.555761685043,0.806034482759,0.803650267345
3,0.307882104042,0.469729141120,0.807758620690,0.800600243717
4,0.157166182440,0.337451775321,0.872413793103,0.871959771849
5,0.081183070749,0.274916561205,0.890517241379,0.891088721733
6,0.042439588564,0.250502385353,0.900000000000,0.900035154520
7,0.022473924202,0.243811490926,0.917241379310,0.917048261152
8,0.015492202225,0.237344938722,0.922413793103,0.922400852658
9,0.009584615076,0.205836056430,0.931896551724,0.931831975203
10,0.007538183977,0.213226701268,0.919827586207,0.921044039302
11,0.006212241525,0.377623460416,0.881896551724,0.878045661105
12,0.009344266690,0.482281432481,0.845689655172,0.848822107052
13,0.014310319200,0.251418486546,0.922413793103,0.922985653344
14,0.008847012080,0.166708404648,0.956896551724,0.956984589488
15,0.003259952718,0.129918885848,0.948275862069,0.948386508284
16,0.002241051547,0.158133695249,0.945689655172,0.945724776631
17,0.001291832411,0.147944730520,0.950862068966,0.950942650214
18,0.001650478200,0.139780582102,0.945689655172,0.945510674488
19,0.001532765155,0.171236168927,0.950862068966,0.951019771209
20,0.001034602125,0.177584070173,0.940517241379,0.940630100897
21,0.001014254885,0.166404302367,0.953448275862,0.953517210103
22,0.001179647880,0.199395848554,0.940517241379,0.941411608557
