modelo,perda_validacao,acuracia_validacao,f1_macro_validacao,tempo_treinamento_segundos,quantidade_parametros
CNN padrão,0.129918885848,0.948275862069,0.948386508284,9.075486,75124
CNN otimizada,0.038901053343,0.982758620690,0.982753493904,15.067613,233028
