epoca,perda_treino,perda_validacao
1,0.636667274472,0.360754704475
2,0.108613257784,0.423619656984
3,0.058212602663,0.175082255026
4,0.045610828076,0.149694370812
5,0.018333711325,0.064527710036
6,0.001521806049,0.038901053343
7,0.000444403299,0.070288036269
8,0.000412749030,0.055640520791
9,0.000384604597,0.074590238765
10,0.000336958939,0.056068897509
11,0.000502484116,0.066608400187
12,0.123226936690,0.303126186723
13,0.015109459630,0.105880371796
