epoca,perda_treino,perda_validacao,acuracia_validacao,f1_macro_validacao
1,1.123984438311,0.941309034824,0.676724137931,0.672402667858
2,0.738470118324,0.691287577152,0.774137931034,0.774044575120
3,0.500526800686,0.560516417027,0.815517241379,0.818322564133
4,0.340660475967,0.463699966669,0.853448275862,0.854251068441
5,0.228366080014,0.383532583714,0.874137931034,0.874787743696
6,0.151415498022,0.319066852331,0.888793103448,0.889446608292
7,0.100543589161,0.272638082504,0.917241379310,0.917795426702
8,0.068312805331,0.237025707960,0.918103448276,0.918186287518
9,0.047658272278,0.217631384730,0.927586206897,0.927521554025
10,0.034677106691,0.207715198398,0.933620689655,0.933496249596
11,0.025896560637,0.201265901327,0.941379310345,0.941217944064
12,0.019749898213,0.200458914042,0.941379310345,0.941155514426
13,0.015450879795,0.199641197920,0.942241379310,0.942033491230
14,0.012451855719,0.197962746024,0.941379310345,0.941182814014
15,0.010244193506,0.195972502232,0.938793103448,0.938550812809
16,0.008554222567,0.194260939956,0.937931034483,0.937659230864
17,0.007260745546,0.192225009203,0.937068965517,0.936693909796
18,0.006236433260,0.190703585744,0.935344827586,0.934903453564
19,0.005409317426,0.189102828503,0.935344827586,0.934882845608
20,0.004730126692,0.188338890672,0.934482758621,0.934000685468
21,0.004159296972,0.187494114041,0.935344827586,0.934817766602
22,0.003678221721,0.186859890819,0.936206896552,0.935534278709
23,0.003274570134,0.186991721392,0.936206896552,0.935479207868
24,0.002930257342,0.187307178974,0.934482758621,0.933682307780
25,0.002638745012,0.187599912286,0.935344827586,0.934517237438
26,0.002386028479,0.187664374709,0.935344827586,0.934517237438
27,0.002164343778,0.187822654843,0.935344827586,0.934517237438
28,0.001969715678,0.187673658133,0.935344827586,0.934525557831
29,0.001801785233,0.187349557877,0.934482758621,0.933620175664
