classe,ambiente,media_rmse_db,desvio_rmse_db,mediana_rmse_db,percentil_95_rmse_db,quantidade_medicoes
0,Corredor,0.302987499747,0.232586469149,0.219914942980,0.779727339745,1370
1,Laboratório,0.413820137018,0.236225449973,0.355022162199,0.800383150578,1370
2,Saguão principal,0.255635807549,0.145691544102,0.209540128708,0.529023766518,1370
3,Ginásio,0.251805372297,0.040572880759,0.245086669922,0.316514641047,1370
